order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied
O966977,C00397,P0022,3,39.25,06-07-2025,Delivered,PayPal,Central,0
O696648,C00236,P0023,5,18.92,06-07-2025, DELAYED,credit card,North,0
O202644,C00492,P0011,1,29.68,07-07-2025,delivered,Bank Transfer,North,0.15
O501803,C00031,P0003,1,32.76,08-07-2025, Cancelled ,Credit Card,Central,0.2
O322242,C00495,P0016,1,47.62,08-07-2025, DELAYED,Credit Card,West,0.2
O190175,C00388,P0005,3,37.89,10-07-2025,Delayed,Bank Transfer,North,0.1
O272646,C00328,P0027,5,30.83,12-07-2025,delivered,PayPal,Central,0.05
O411881,C00201,P0019,3,12.56,14-07-2025,Delivered,Credit Card,East,0
O170570,C00076,P0030,3,28.32,16-07-2025,delivered,PayPal,Central,0.15
O619944,C00330,P0002,1,30.96,18-07-2025, DELAYED,Credit Card,South,0.15
O490023,C00285,P0022,2,9.98,20-07-2025,delivered,credit card,Central,0
O865247,C00249,P0022,5,30.92,22-07-2025,Delayed,Credit Card,East,0.1
O315552,C00110,P0007,4,28.74,24-07-2025,delivered,Bank Transfer,North,0.1
O135982,C00441,P0003,2,38.11,26-07-2025,Delivered,PayPal,North,
O870079,C00274,P0013,1,49.71,28-07-2025,Delayed,credit card,East,
O305482,C00404,P0003,4,9.79,30-07-2025, Cancelled ,Bank Transfer,North,0.15
O359666,C00397,P0007,4,12.07,30-07-2025,Delayed,Bank Transfer,West,0
O324940,C00262,P0002,1,20.42,31-07-2025, DELAYED,credit card,North,0.05
O364358,C00319,P0027,4,17.4,30-07-2025,Delayed,PayPal,East,0
O358447,C00059,P0004,3,39.89,29-07-2025,Delayed,Bank Transfer,West,0
O216425,C00211,P0019,1,32.05,28-07-2025,Delayed,Bank Transfer,South,0.15
O121091,C00276,P0022,4,12.88,27-07-2025, Cancelled ,credit card,Central,0.2
O930213,C00369,P0010,4,10.43,26-07-2025, Cancelled ,PayPal,South,
O342894,C00171,P0030,1,31.96,25-07-2025,delivered,Bank Transfer,South,0
O471486,C00423,P0007,2,39.93,24-07-2025, Cancelled ,PayPal,Central,
O728183,C00040,P0021,5,39.59,23-07-2025,delivered,credit card,Central,0.15
O860527,C00334,P0025,5,46.67,22-07-2025,Delayed,PayPal,South,
O658934,C00463,P0025,4,19.29,21-07-2025, DELAYED,Credit Card,West,0.1
O702676,C00374,P0019,1,36.28,20-07-2025,Delivered,Bank Transfer,West,
O145341,C00470,P0024,1,29.47,19-07-2025, Cancelled ,PayPal,East,0.1
O291982,C00329,P0019,5,41.7,18-07-2025,delivered,PayPal,East,0.05
O577920,C00480,P0015,4,28.58,17-07-2025,Delayed,PayPal,East,0
O960238,C00259,P0009,2,9.58,16-07-2025, DELAYED,Credit Card,East,0.2
O966135,C00464,P0028,1,26.29,15-07-2025, Cancelled ,PayPal,West,0
O453905,C00398,P0017,2,32.1,14-07-2025,Delivered,PayPal,South,0.1
O357468,C00070,P0025,2,12.47,13-07-2025,delivered,Credit Card,East,0.15
O671288,C00197,P0014,4,15.06,12-07-2025,Delayed,credit card,North,0
O566495,C00500,P0013,1,41.14,11-07-2025,delivered,PayPal,Central,0
O508604,C00331,P0022,1,14.6,10-07-2025, Cancelled ,Bank Transfer,Central,0.2
O455877,C00414,P0029,3,37.44,09-07-2025, Cancelled ,Bank Transfer,East,
O175998,C00170,P0016,1,47.46,08-07-2025, DELAYED,Bank Transfer,North,0.05
O393004,C00284,P0011,4,49.08,07-07-2025,delivered,PayPal,East,0.15
O198320,C00392,P0001,3,18.38,06-07-2025,Delivered,Credit Card,West,0.15
O223293,C00070,P0007,5,9.06,05-07-2025,Delivered,Bank Transfer,West,0.2
O698994,C00301,P0024,3,45.59,04-07-2025,Delayed,PayPal,East,0.05
O532137,C00043,P0029,1,28.46,03-07-2025, DELAYED,Credit Card,West,0.2
O577109,C00416,P0005,4,49.91,02-07-2025,Delivered,credit card,East,0.05
O641343,C00274,P0017,5,29.41,01-07-2025,Delivered,Credit Card,South,0.05
O333120,C00006,P0027,1,45.44,30-06-2025, DELAYED,Credit Card,Central,0.1
O813745,C00399,P0010,5,22.25,29-06-2025,Delivered,Bank Transfer,Central,
O544747,C00381,P0029,5,24.19,28-06-2025,delivered,Credit Card,East,0.05
O468789,C00366,P0015,5,33.07,27-06-2025, DELAYED,PayPal,North,0.2
O627148,C00180,P0022,4,17.33,26-06-2025, DELAYED,Bank Transfer,South,0
O935520,C00434,P0004,3,30.3,25-06-2025,Delayed,PayPal,South,0
O544861,C00495,P0011,2,40.78,24-06-2025,Delayed,Credit Card,North,0.1
O459284,C00365,P0021,2,35.38,23-06-2025, DELAYED,PayPal,North,0.1
O180874,C00066,P0029,4,43.89,22-06-2025, Cancelled ,Bank Transfer,Central,0.2
O241823,C00224,P0016,5,21.08,21-06-2025,Delayed,PayPal,East,0.05
O756742,C00077,P0013,5,13.7,20-06-2025, DELAYED,PayPal,East,
O210583,C00384,P0026,4,38.54,19-06-2025,Delivered,credit card,West,0
O778545,C00195,P0001,2,27.55,18-06-2025, Cancelled ,Credit Card,West,0
O250174,C00181,P0011,2,24.53,17-06-2025, DELAYED,Bank Transfer,South,0.1
O779423,C00152,P0022,3,35.67,16-06-2025,delivered,PayPal,West,
O158221,C00443,P0017,5,21.31,15-06-2025, Cancelled ,credit card,South,0
O415017,C00263,P0002,1,31.39,14-06-2025, Cancelled ,Credit Card,Central,
O411654,C00357,P0005,5,38,13-06-2025,Delivered,credit card,West,0
O545752,C00020,P0022,2,19.1,12-06-2025,Delivered,credit card,East,0
O970556,C00465,P0011,3,29.38,11-06-2025, Cancelled ,Bank Transfer,North,0.05
O493424,C00356,P0003,1,32.26,10-06-2025,delivered,Bank Transfer,South,0.05
O209171,C00415,P0030,5,38.84,09-06-2025, Cancelled ,Bank Transfer,North,0.2
O422815,C00272,P0017,1,44.92,08-06-2025,Delivered,credit card,North,0.2
O112343,C00420,P0029,2,45.57,07-06-2025,Delayed,Credit Card,Central,0
O129237,C00342,P0022,4,15.33,06-06-2025,Delayed,PayPal,East,0
O418152,C00110,P0030,2,48.25,05-06-2025, Cancelled ,Credit Card,West,0.1
O359098,C00352,P0014,4,11.54,04-06-2025,delivered,credit card,South,0.05
O772183,C00045,P0026,2,30.96,03-06-2025,Delayed,PayPal,West,0.15
O399621,C00147,P0016,3,31.26,02-06-2025, Cancelled ,Bank Transfer,Central,0.1
O362898,C00452,P0025,1,37.16,01-06-2025,delivered,credit card,East,0
O657302,C00338,P0016,1,28.45,31-05-2025, DELAYED,Bank Transfer,North,
O691691,C00033,P0030,1,30.05,30-05-2025, Cancelled ,Credit Card,Central,0.05
O712157,C00372,P0015,3,17.09,29-05-2025, Cancelled ,credit card,East,
O622429,C00056,P0016,1,45.87,28-05-2025,Delayed,credit card,Central,0.15
O429017,C00131,P0028,5,24.03,27-05-2025,delivered,Bank Transfer,North,
O773027,C00172,P0005,5,28.61,26-05-2025,Delivered,PayPal,Central,0.1
O486175,C00441,P0026,1,48.56,25-05-2025,Delivered,Bank Transfer,Central,0.1
O914359,C00386,P0027,1,34.25,24-05-2025, DELAYED,PayPal,South,0.1
O251988,C00052,P0029,5,27.55,23-05-2025,Delayed,Credit Card,South,0.1
O310886,C00256,P0029,4,40.76,22-05-2025,Delayed,Bank Transfer,East,0.2
O536236,C00192,P0019,3,32.04,21-05-2025,Delivered,PayPal,Central,0
O782603,C00259,P0016,4,43.95,20-05-2025, DELAYED,credit card,South,
O673771,C00126,P0022,3,44.95,19-05-2025,delivered,Credit Card,North,0.1
O821870,C00371,P0011,5,39.49,18-05-2025, DELAYED,credit card,East,
O521398,C00419,P0010,4,40.27,17-05-2025,Delivered,Bank Transfer,South,0.15
O198927,C00139,P0006,1,29.26,16-05-2025, DELAYED,Credit Card,North,0.15
O293081,C00449,P0025,3,26.26,15-05-2025,Delivered,credit card,South,0.1
